School Id,Org Name,Telephone,Fax,Email^,Principal*,URL,Physical Address Line1,Physical Address Suburb,Physical Address City,Postal Address Line1,Postal Address Suburb,Postal Address City,Postal Address Postal Code,Urban Area,Org Type,Definition,Authority,CoEd Status,Territorial Authority,Regional Council,Local Office Name,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Col Id,Col Name,Latitude,Longitude,Decile,Total,European,Māori,Pacific,Asian,MELAA,Other,International,IsolationIndex,SchoolDonations
394,The Catlins Area School,03 415 8036,03 415 8037,learn@catlins.school.nz,Kate Staniford,http://www.catlins.school.nz,1 Stuart Street,,Owaka,1 Stuart Street,,Owaka,9535,Rural Area,Composite,Not Applicable,State,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Owaka,Catlins Ward,99080,Big River Community of Learning,-46.453135,169.661385,7,113,84,16,7,5,0,1,0,2.21,Donations should not be requested unless for a school camp
395,Northern Southland College,03 248 7121,03 248 7120,office@nsc.school.nz,Mike Newell,http://www.nsc.school.nz,Maria Street,,Lumsden,P O Box 17,,Lumsden,9742,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Southland District,Southland Region,Invercargill,Otago/Southland,Clutha-Southland,Te Tai Tonga,Lumsden Community,Mararoa-Waimea Ward,99041,FINS CoL,-45.744013,168.448739,7,187,137,19,1,24,5,1,0,2.1,Donations may be requested
396,Gore High School,03 208 9130,03 208 9133,ghs@gore-high.school.nz,John McKinlay,http://www.gore-high.school.nz,Coutts Road,,Gore,Private Bag 50024,,Gore,9740,Minor Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Co-Educational,Gore District,Southland Region,Invercargill,Otago/Southland,Clutha-Southland,Te Tai Tonga,West Gore,Gore Ward,99055,Eastern Southland Community of Learning,-46.103544,168.930251,6,477,366,76,8,12,4,9,2,1.24,Donations may be requested
397,St Peter's College (Gore),03 208 9060,03 208 0000,office@stpetersgore.school.nz,Darren Jack (Acting),http://www.stpetersgore.school.nz,121 Kakapo Street,,Gore,P O Box 94,,Gore,9740,Minor Urban Area,Secondary (Year 7-15),School with Boarding Facilities,State : Integrated,Co-Educational,Gore District,Southland Region,Invercargill,Otago/Southland,Clutha-Southland,Te Tai Tonga,West Gore,Gore Ward,99055,Eastern Southland Community of Learning,-46.10716,168.924024,8,400,304,43,9,22,2,1,19,1.24,Donations may be requested
398,Takitimu Primary School,03 225 7725,03 225 7847,office@takitimu.school.nz,Heather Boniface,http://takitimuprimary.wixsite.com/takitimuprimary,15 Evan Street,,Nightcaps,11 Evan Street,,Nightcaps,9630,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Southland District,Southland Region,Invercargill,Otago/Southland,Clutha-Southland,Te Tai Tonga,Nightcaps,Waiau-Aparima Ward,,,-45.974795,168.032571,4,95,56,26,3,5,1,4,0,2.15,Donations should not be requested unless for a school camp
399,Central Southland College,03 236 7646,03 236 7645,office@csc.school.nz,Grant Dick,http://www.csc.school.nz/,174 MacKenzie Street,,Winton,174 MacKenzie Street,,Winton,9720,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Southland District,Southland Region,Invercargill,Otago/Southland,Clutha-Southland,Te Tai Tonga,Winton,Winton-Wallacetown Ward,,,-46.137191,168.320114,6,562,402,92,3,53,6,2,4,1.39,Donations may be requested
400,Fiordland College,03 249 7819,03 249 7810,admin@fiordlandcollege.school.nz,Lynlee Smith,http://www.fiordlandcollege.school.nz/,4 Howden Street,,Te Anau,P O Box 23,,Te Anau,9640,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Southland District,Southland Region,Invercargill,Otago/Southland,Clutha-Southland,Te Tai Tonga,Te Anau,Mararoa-Waimea Ward,99041,FINS CoL,-45.409256,167.723682,9,230,180,25,1,17,2,1,4,3.74,Donations may be requested
401,Menzies College,03 206 4979,03 206 4470,admin@menzies.school.nz,Gerard Ward,http://www.menzies.school.nz,Alma Street,,Wyndham,4 Alma Street,,Wyndham,9831,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Southland District,Southland Region,Invercargill,Otago/Southland,Invercargill,Te Tai Tonga,Wyndham,Waihopai-Toetoes Ward,99028,Lower Mataura Valley Community of Learning,-46.324822,168.845927,5,314,209,70,9,24,0,2,0,1.33,Donations should not be requested unless for a school camp
402,Waiau Area School,03 226 6285,03 226 6033,admin@was.school.nz,Andrew Pardoe-Burnett,http://www.was.school.nz/,47 Orawia Road,,Tuatapere,47 Orawia Road,,Tuatapere,9620,Rural Area,Composite,Not Applicable,State,Co-Educational,Southland District,Southland Region,Invercargill,Otago/Southland,Clutha-Southland,Te Tai Tonga,Tuatapere,Waiau-Aparima Ward,,,-46.129561,167.688875,3,130,87,36,0,6,0,1,0,2.52,Donations should not be requested unless for a school camp
404,Southland Boys' High School,03 211 3003,03 218 7414,mail@sbhs.school.nz,Simon Coe,http://www.sbhs.school.nz,181 Herbert Street,,Invercargill,P O Box 1543,,Invercargill,9840,Main Urban Area,Secondary (Year 7-15),School with Boarding Facilities,State,Single Sex (Boys School),Invercargill City,Southland Region,Invercargill,Otago/Southland,Invercargill,Te Tai Tonga,Gladstone-Avenal,Area Outside Ward,99146,Invercargill Community of Learning,-46.395629,168.359094,6,978,591,293,46,31,11,3,3,0.86,Donations may be requested
405,Southland Girls' High School,03 211 6030,03 216 9010,excellence@southlandgirls.school.nz,Yvonne Browning,http://www.southlandgirls.school.nz,328 Tweed Street,Georgetown,Invercargill,328 Tweed Street,Georgetown,Invercargill,9812,Main Urban Area,Secondary (Year 7-15),School with Boarding Facilities,State,Single Sex (Girls School),Invercargill City,Southland Region,Invercargill,Otago/Southland,Invercargill,Te Tai Tonga,Georgetown,Area Outside Ward,,,-46.417465,168.365153,5,1031,669,218,50,47,14,7,26,0.85,Donations may be requested
408,Verdon College,03 216 9039,03 216 9015,admin@verdoncollege.school.nz,Jarlath Kelly,http://www.verdoncollege.school.nz,Rockdale Road,,Invercargill,P O Box 645,,Invercargill,9840,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Co-Educational,Invercargill City,Southland Region,Invercargill,Otago/Southland,Invercargill,Te Tai Tonga,Newfield-Rockdale,Area Outside Ward,99147,Special Character Invercargill Community of Learning,-46.415715,168.397281,6,720,441,161,34,67,13,4,0,0.89,Donations should not be requested unless for a school camp
409,Aparima College,03 234 8900,03 234 8272,office@aparima.school.nz,Cameron Davis,http://www.aparima.school.nz,33 Leader Street,,Riverton,Leader Street,,Riverton,9822,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Southland District,Southland Region,Invercargill,Otago/Southland,Invercargill,Te Tai Tonga,Riverton East,Waiau-Aparima Ward,,,-46.353606,168.016606,6,178,102,68,1,7,0,0,0,1.63,Donations should not be requested unless for a school camp
418,Rangiora New Life School,03 313 6332,03 313 6237,admin@rnls.school.nz,Stephen Walters,http://www.rnls.school.nz,Denchs Road,Southbrook,Rangiora,Denchs Road,,Rangiora,7400,Secondary Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Southbrook,Rangiora-Ashley Ward,99066,Tipu Maia Community of Learning,-43.320246,172.598008,9,483,383,35,11,16,21,7,10,0.39,Donations may be requested
419,Rudolf Steiner School (Chch),03 337 0514,03 337 0515,admin@ch.steiner.school.nz,Thomas Proctor,http://www.ch.steiner.school.nz,19 Ombersley Terrace,Opawa,Christchurch,P O Box 19944,Woolston,Christchurch,8241,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Opawa,Heathcote Ward,99110,Steiner Waldorf Community of Learning,-43.560082,172.659127,8,371,295,38,5,25,5,3,0,0.11,Donations may be requested
421,Richmond View School,03 578 0626,03 578 0626,office@rvs.school.nz,Dave Pauling,http://www.rvs.school.nz,26 Burleigh Road,,Blenheim,26 Burleigh Road,Redwoodtown,Blenheim,7201,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Marlborough District,Marlborough Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Redwoodtown,Blenheim Ward,99006,Piritahi (2BCoS) Community of Learning,-41.526398,173.94336,5,182,107,21,7,23,19,5,0,1.28,Donations should not be requested unless for a school camp
422,Faith City School,06 345 7737,06 345 7483,admin@faithcity.school.nz,Ruth McLeay,http://www.faithcity.school.nz,127 Springvale Road,Springvale,Whanganui,127 Springvale Road,Westmere,Whanganui,4501,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Blueskin,Area Outside Ward,99164,Lower North Island Christian Schools Community of Learning,-39.920423,175.020932,3,148,69,42,12,13,12,0,0,0.85,Donations should not be requested unless for a school camp
424,Michael Park School,09 579 3083,09 579 4498,admin@michaelpark.school.nz,Terry Storer,http://www.michaelpark.school.nz/,55 Amy Street,Ellerslie,Auckland,P O Box 11224,Ellerslie Central,Auckland,1542,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Auckland - Orakei,Auckland Region,Auckland,Auckland,Maungakiekie,Tamaki Makaurau,Ellerslie North,Orakei Ward,99110,Steiner Waldorf Community of Learning,-36.89351,174.815656,8,379,242,37,7,64,18,6,5,0.2,Donations may be requested
425,Odyssey House School (Auckland),09 828 6271,09 828 0573,,Kristen Evans,http://www.odyssey.org.nz,56 Bollard Avenue,Avondale,Auckland,Private Bag 56447,,Auckland,1446,Main Urban Area,Secondary (Year 9-15),Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Whau,Auckland Region,Auckland,Auckland,New Lynn,Tamaki Makaurau,New Windsor,Whau Ward,,,-36.898307,174.705636,99,26,9,15,2,0,0,0,0,Not applicable,Not applicable
428,Whangamata Area School,07 865 8557,07 865 8761,office@whangamata.school.nz,Alistair Luke,http://www.whangamata.school.nz/,Port Road,,Whangamata,P O Box 8,,Whangamata,3643,Minor Urban Area,Composite,Not Applicable,State,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Whangamata,South Eastern Ward,99155,Coromandel Community of Learning,-37.215332,175.866533,4,508,311,170,8,8,8,0,3,1.84,Donations should not be requested unless for a school camp
429,Excellere College,09 435 2458,09 435 0458,office@excellerecollege.school.nz,Graeme Whitehead,http://www.excellerecollege.school.nz,39 Great North Road,Kamo,Whangarei,P O Box 4237,,Kamo,141,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Springs Flat,Hikurangi-Coastal Ward,99182,Te Tai Raki Whangarei Kāhui Ako,-35.669695,174.298574,5,244,121,55,6,16,39,1,6,0.74,Donations should not be requested unless for a school camp
432,KingsWay School,09 427 0900,09 427 0919,,Graeme Budler,http://www.kingsway.school.nz,100 Jelas Road,,Red Beach,P O Box 54,,Red Beach,945,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Silverdale Central,Albany Ward,99210,Ki Atua hei te Kororia Kāhui Ako,-36.605634,174.683044,9,1433,754,53,27,371,151,14,63,0.38,Donations may be requested
435,Hukarere College,06 835 8452,06 835 5914,info@hukarere.school.nz,Lelie Pearcey,http://www.hukarere.school.nz/,17 Shaw Road,,Eskdale,17 Shaw Road RD 2,,Napier,4182,Rural Area,Secondary (Year 9-15),Secondary Maori Boarding School,State : Integrated,Single Sex (Girls School),Hastings District,Hawke's Bay Region,Napier,Hawke's Bay/Tairawhiti,Napier,Ikaroa-Rawhiti,Tangoio,Mohaka Ward,99002,Matariki Community of Learning,-39.388573,176.827686,2,72,0,69,3,0,0,0,0,1.41,Donations may be requested
436,Springbank School,09 407 5236,,reception@springbank.school.nz,Mike Warren,http://www.springbank.school.nz,78 Waimate North Road,,Kerikeri,P O Box 404,,Kerikeri,245,Rural Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Waihou Valley-Hupara,Bay of Islands-Whangaroa Ward,,,-35.241996,173.915477,99,196,156,9,2,13,2,4,10,Not applicable,Not applicable
439,Totara College of Accelerated Learning,06 374 6165,06 374 6170,office@totaracollege.school.nz,Deborah Max,https://www.totaracollege.school.nz,3 Ruahine Street,,Dannevirke,P O Box 152,,Dannevirke,4942,Minor Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Tararua District,Manawatu-Wanganui Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Dannevirke West,North Tararua Ward,99164,Lower North Island Christian Schools Community of Learning,-40.190149,176.11144,3,65,47,16,0,0,2,0,0,1.33,Donations should not be requested unless for a school camp
440,Pinehurst School,09 414 0960,09 414 0964,info@pinehurst.school.nz,Alex Reed,http://www.pinehurst.school.nz,75 Bush Road,Albany,Auckland,P O Box 302308,North Harbour,Auckland,751,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,North Harbour East,Albany Ward,,,-36.739156,174.704013,10,978,342,16,1,515,31,5,68,Not applicable,Not applicable
441,ACG Strathallan,09 295 0830,09 295 0833,strathallan@acgedu.com,Daniel O'Connor,http://www.acgedu.com/nz/strathallan,50 Hayfield Way,,Karaka,Hayfield Way RD 1,,Papakura,2580,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Papakura,Auckland Region,Auckland,Auckland,Papakura,Hauraki-Waikato,Hingaia,Manurewa-Papakura Ward,,,-37.081855,174.903704,99,895,442,33,14,298,13,4,91,Not applicable,Not applicable
443,Hastings Christian School,06 878 6696,06 878 9539,office@hcs.school.nz,Gavin Clark,http://www.hcs.school.nz,1009 Copeland Road,Akina,Hastings,Copeland Road,Akina,Hastings,4122,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Hastings District,Hawke's Bay Region,Napier,Hawke's Bay/Tairawhiti,Tukituki,Ikaroa-Rawhiti,Longlands South,Heretaunga Ward,99164,Lower North Island Christian Schools Community of Learning,-39.658522,176.845187,7,282,219,20,6,19,17,1,0,1.21,Donations should not be requested unless for a school camp
451,Hamilton Christian School,07 854 0010,07 854 0072,admin@hcswaikato.school.nz,Shaun Brooker,http://www.hcswaikato.school.nz,4 North City Road,Rototuna North,Hamilton,4 North City Road RD 1,,Hamilton,3281,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Horsham Downs,East Ward,99157,Ngā Whānau O Karaiti Kāhui Ako,-37.721427,175.260861,9,409,227,18,18,100,15,0,31,0.2,Donations may be requested
452,Southern Cross Campus,09 255 0404,09 255 0571,,Robin Staples,http://www.southerncross.school.nz/,237 Buckland Road,Mangere,Auckland,P O Box 43242,Mangere,Auckland,2153,Main Urban Area,Composite,Not Applicable,State,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Harania West,Manukau Ward,99124,Whakatipu Akoranga Kāhui Ako,-36.964284,174.816727,1,1445,1,189,1192,53,7,3,0,0.16,Donations should not be requested unless for a school camp
453,Kadimah School,09 373 3072,09 366 6121,office@kadimah.school.nz,Sue Meltzer (Acting),http://www.kadimah.school.nz,108 Greys Avenue,Newton,Auckland,P O Box 68135,Newton,Auckland,1145,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Auckland - Waitemata,Auckland Region,Auckland,Auckland,Auckland Central,Tamaki Makaurau,Auckland Central West,Waitemata and Gulf Ward,,,-36.855591,174.759747,8,150,93,4,6,30,14,3,0,0.04,Donations may be requested
454,St Dominic's College,06 344 3814,06 344 2087,info@sspx.org.nz,Francois Laisney,http://www.sspx.org.nz/?page_id=15,12B York Street,Gonville,Whanganui,P O Box 7123,,Whanganui,4541,Main Urban Area,Secondary (Year 9-15),Not Applicable,Private : Fully Registered,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Gonville East,Area Outside Ward,,,-39.9394,175.022668,99,43,27,4,1,6,0,0,5,Not applicable,Not applicable
456,Pukekohe Christian School,09 238 6449,09 238 2581,admin@pcschool.co.nz,Clare Humber,http://www.pcschool.co.nz,82 Yates Road,,Pukekohe,P O Box 153,,Pukekohe,2340,Secondary Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Franklin,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Bledisloe Park,Franklin Ward,,,-37.216704,174.931298,99,314,200,9,7,80,6,12,0,Not applicable,Not applicable
460,Carey College,09 570 5873,,admin@carey.school.nz,Eunice Hall,http://www.careycollege.com,21 Domain Road,Panmure,Auckland,21 Domain Road,Panmure,Auckland,1072,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Auckland,Maungakiekie,Tamaki Makaurau,Panmure Basin,Maungakiekie-Tamaki Ward,,,-36.901081,174.854482,99,15,0,0,0,7,1,6,1,Not applicable,Not applicable
462,Ambury Park Centre,09 634 0763,09 636 4832,office@amburyparkcentre.org.nz,Vicky Cox,http://www.amburyparkcentre.org.nz,66 Wellesley Road,Mangere Bridge,Auckland,P O Box 59141,Mangere Bridge,Manukau,2151,Main Urban Area,Secondary (Year 9-15),Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Ambury,Manukau Ward,,,-36.953125,174.771216,99,16,6,7,2,1,0,0,0,Not applicable,Not applicable
463,TKK Motuhake o Tawhiuau,07 366 5817,07 366 5990,tawhiuau.kura@tawhiuau.school.nz,Pembroke Bird,http://www.tawhiuau.school.nz,43 Miro Drive,,Murupara,P O Box 56,,Murupara,3062,Minor Urban Area,Composite,Designated Character School,State,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Murupara,Galatea-Murupara Ward,,,-38.460989,176.70927,1,82,1,81,0,0,0,0,0,1.75,Donations may be requested
465,Mana Tamariki,06 356 4383,06 354 9792,tari@manatamariki.school.nz,Brenda Soutar,,165 Grey Street,Palmerston North CBD,Palmerston North,165 Grey Street,,Palmerston North,4410,Main Urban Area,Composite,Designated Character School,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Palmerston North Central,Area Outside Ward,,,-40.349072,175.61614,5,63,0,63,0,0,0,0,0,0.59,Donations may be requested
466,Manukau Christian School,09 269 1050,09 269 1049,admin@manukauchristian.school.nz,Shane Kennedy,http://www.manukauchristian.school.nz/,77 Rogers Road,Manurewa,Auckland,P O Box 75623,Manurewa,Manukau,2243,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Manurewa,Auckland Region,Auckland,Auckland,Manurewa,Tamaki Makaurau,Beaumont,Manurewa-Papakura Ward,,,-37.027828,174.899783,99,244,41,14,33,141,6,1,8,Not applicable,Not applicable
471,Zayed College for Girls,09 255 0904,09 255 0960,admin@zayedcollege.school.nz,Regina Rasheed,http://www.zayedcollege.school.nz,44 Westney Road,Mangere,Auckland,P O Box 43251,Mangere,Auckland,2153,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Mangere South,Manukau Ward,99123,Mangere Kāhui Ako,-36.978821,174.792664,3,118,4,3,10,64,34,3,0,0.23,Donations should not be requested unless for a school camp
472,OneSchool Global - New Zealand,09 636 1255,09 636 0295,admin@nz.oneschoolglobal.com,Paul Kennedy,https://www.oneschoolglobal.com,Level 1 The Precinct 40 Onehunga Mall,Onehunga,Auckland,P O Box 13979,Onehunga,Auckland,1643,Not Applicable,Composite,Not Applicable,Private : Fully Registered,Co-Educational,,,Auckland,Auckland,No Description,Missing,Not Applicable/Unknown,Not Applicable,,,-36.930182,174.786584,9,1583,1576,1,1,0,3,2,0,Not applicable,Not applicable
473,Auckland International College,09 309 4480,09 627 9103,admissions@aic.ac.nz,Carolyn Solomon,http://www.aic.ac.nz,37 Heaphy Street,Blockhouse Bay,Auckland,P O Box 3966,Shortland Street,Auckland,1140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,Private : Fully Registered,Co-Educational,Auckland - Whau,Auckland Region,Auckland,Auckland,New Lynn,Tamaki Makaurau,Blockhouse Bay,Whau Ward,,,-36.922398,174.69787,8,175,3,0,0,65,0,0,107,Not applicable,Not applicable
476,Tongariro School,07 386 8684,07 386 6230,administration@tongariro.school.nz,Steven Allen,http://www.tongariro.school.nz,Waipapa Road,,Turangi,Waipapa Road,,Turangi,3334,Minor Urban Area,Composite,Not Applicable,State,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Waiariki,Taupo,Waiariki,Turangi,Turangi-Tongariro Ward,,,-38.985784,175.81506,1,391,42,345,2,0,2,0,0,1.69,Donations should not be requested unless for a school camp
478,Wainuiomata High School,04 938 3224,04 939 7016,office@wainuiomatahigh.school.nz,Janette Melrose,http://www.wainuiomatahigh.school.nz,Parkway Road,Wainuiomata,Lower Hutt,P O Box 43156,Wainuiomata,Lower Hutt,5048,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Ikaroa-Rawhiti,Parkway,Wainuiomata Ward,99090,Wainuiomata Community of Learning,-41.251663,174.936198,3,598,215,262,64,26,10,2,19,0.22,Donations should not be requested unless for a school camp
481,City Impact Church School,09 477 0302,09 477 0301,,Darrell Parratt,http://www.cityimpactchurch.school.nz,794 East Coast Road,Browns Bay,Auckland,P O Box 35211,Browns Bay,Auckland,753,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Northcross,Albany Ward,,,-36.721816,174.722964,9,145,92,4,3,31,11,4,0,Not applicable,Not applicable
482,Aquinas College,07 543 2400,07 543 2403,admin@aquinas.school.nz,Matt Dalton,http://www.aquinas.school.nz,183 Pyes Pa Road,Pyes Pa,Tauranga,183 Pyes Pa Road RD 3,,Tauranga,3173,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Tauranga,Waiariki,Pyes Pa,Otumoetai-Pyes Pa Ward,99018,Rotorua Catholic Faith Based Community of Learning,-37.750878,176.121982,8,768,543,118,12,60,7,4,24,0.55,Donations may be requested
484,Wentworth College,09 424 3273,,enquiries@wentworth.school.nz,Bruce Tong,http://www.wentworth.school.nz,65 Gulf Harbour Drive,Gulf Harbour,Whangaparaoa,P O Box 650,,Whangaparaoa,943,Main Urban Area,Secondary (Year 7-15),Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Army Bay,Albany Ward,,,-36.613147,174.791293,10,250,154,14,1,38,2,2,39,Not applicable,Not applicable
485,Taumata School,07 579 0990,,,Genavier Fuller,https://www.taumata.school.nz/,145 Mortlake Heights,Pyes Pa,Tauranga,145 Mortlake Heights,Pyes Pa,Tauranga,3112,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Pyes Pa,Otumoetai-Pyes Pa Ward,99085,Tauranga Peninsula Community of Learning,-37.751288,176.110905,8,246,168,37,4,29,6,2,0,Not calculated,Donations may be requested
487,Mt Hobson Middle School,09 523 1241,09 523 1241,admin@mthobson.school.nz,Alwyn Poole,http://www.mthobson.school.nz,131 Remuera Road,Remuera,Auckland,P O Box 74276,Greenlane,Auckland,1546,Main Urban Area,Composite,Restricted Composite (Year 7-10),Private : Fully Registered,Co-Educational,Auckland - Orakei,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Mt Hobson,Orakei Ward,,,-36.874737,174.783983,99,52,32,3,10,3,1,0,3,Not applicable,Not applicable
488,Nga Taiatea Wharekura,07 850 6358,07 850 6359,,Duane Allen,http://www.taiatea.school.nz,134 Rotokauri Road,Nawton,Hamilton,134 Rotokauri Road RD 9,,Hamilton,3289,Main Urban Area,Secondary (Year 9-15),Designated Character School,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Rotokauri,West Ward,99084,Te Kaahui Ako o Tainui,-37.768009,175.231113,2,250,0,249,1,0,0,0,0,0.13,Donations should not be requested unless for a school camp
491,Sancta Maria College,09 274 4081,09 274 4082,admin@sanctamaria.school.nz,Louise Moore,http://www.sanctamaria.school.nz,319 Te Irirangi Drive,Howick South,Manukau,P O Box 64437,Botany,Manukau,2163,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Botany,Tamaki Makaurau,Ormiston,Howick Ward,99189,South East Christian Kāhui Ako,-36.957841,174.90488,7,1048,293,45,99,483,50,25,53,0.11,Donations may be requested
494,Putaruru College,07 883 8323,07 883 8354,office@putarurucollege.school.nz,Michael Ronke,http://www.putarurucollege.school.nz,Junction Street,,Putaruru,P O Box 210,,Putaruru,3443,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Putaruru,Putaruru Ward,,,-38.040154,175.786838,3,371,203,148,1,13,5,1,0,0.95,Donations should not be requested unless for a school camp
495,Taieri College,03 489 3823,03 489 4399,office@taieri.school.nz,David Hunter,http://www.taieri.school.nz,Green Street,,Mosgiel,P O Box 45,,Mosgiel,9053,Main Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Mosgiel South,Area Outside Ward,,,-45.875909,170.35139,7,1095,891,124,17,22,21,4,16,0.35,Donations may be requested
496,Reefton Area School,03 732 8421,03 732 8777,office@ras.school.nz,Wayne Wright,http://www.ras.school.nz/,10 Victory Street,,Reefton,10 Victory Street,,Reefton,7830,Minor Urban Area,Composite,Not Applicable,State,Co-Educational,Buller District,West Coast Region,Nelson,Nelson/Marlborough/West Coast,West Coast-Tasman,Te Tai Tonga,Reefton,Inangahua Ward,99023,TOSI Area Schools Community of Learning,-42.115234,171.860874,4,158,105,33,9,8,3,0,0,3.74,Donations should not be requested unless for a school camp
497,Te Kura o Hirangi,07 386 7632,07 386 6632,hirangi@reap.org.nz,Henarata Ham,,29 Mawake Place,,Turangi,29 Mawake Place,,Turangi,3334,Minor Urban Area,Composite,Designated Character School,State,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Waiariki,Taupo,Waiariki,Turangi,Turangi-Tongariro Ward,,,-38.984395,175.803419,1,231,0,229,1,1,0,0,0,1.69,Donations should not be requested unless for a school camp
